Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,AVG COL-G
When did Sabonis make his NBA debut for the Pacers?,"Sabonis made his NBA debut for the Pacers on December 1, 2016.",10,13,12,19,0.923556805,
On what date were the PlayStation 4 and Xbox 360 versions released?,"The PlayStation 4 and Xbox 360 versions of the game were released on November 15, 2013.",12,15,16,23,1.095935106,
How long was Michael's lead over Russell's?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,12,17,22,1.039115667,
What is the name of the men's basketball team at Georgetown University?,The name of the men's basketball team at Georgetown University is the Georgetown Hoyas.,12,15,14,18,0.881783009,
How many games did Kidd and Carter play together in 2004-05?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",11,16,17,22,1.076336861,
How many.408.285.805 3.8 6.7 1.5.4 14.2 2009-10 Charlotte 80 80 33,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,11,38,237,473,20.64434004,
When did the New Jersey Nets lose to the Toronto Raptors?,"The New Jersey Nets lost to the Toronto Raptors on January 13, 2019.",11,13,13,19,0.916310787,
What year was H. H. Walters born?,"I'm sorry, I cannot find any information on H. H. Walters' birth year.",7,10,13,20,0.964751959,
How many former Xavier players are currently playing professionally overseas?,"As of 2021, there are currently 13 former Xavier players playing professionally overseas.",10,11,13,18,0.880422115,
Where was the ESPN Wide World of Sports complex located?,"The ESPN Wide World of Sports complex was located in Lake Buena Vista, Florida.",10,11,14,17,0.826406002,
How many rebounds shy of a triple-double in his first game back with the team?,"I'm sorry, I cannot provide an accurate answer as I do not have enough information about the specific game you are referring to.",15,18,23,27,1.283674479,
What is the unique feature of the Bradley Center?,The Bradley Center is unique in that it is the only arena in the world to have a retractable roof.,9,10,20,22,1.0499506,
When did the New York Knicks and Chicago Bulls meet?,"The New York Knicks and Chicago Bulls have met a total of 1,082 times in regular season play, with the Knicks holding a 565-417 edge over the Bulls.",10,11,28,36,1.669574261,
When did Oates Black Sabbath join Van Halen?,Oates Black Sabbath joined Van Halen in 1978.,8,11,8,13,0.656710386,
"In exchange for Robin Lopez, José Calderón and Grant, to what city did Grant go to?",Grant went to the city of San Antonio.,16,22,8,9,0.485874891,
What year did the University of Notre Dame win a NAIA championship?,The University of Notre Dame has won a NAIA championship in 1981.,12,14,12,16,0.791632652,
What percentage of the nets made free throws?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.04006362,
What team won their second championship in two years?,The team that won their second championship in two years is the New England Patriots. They won Super Bowl LI in 2017 and Super Bowl LII in 2018.,9,10,28,35,1.650993824,
Where is Georgia Tech located?,"Georgia Tech is located in Atlanta, Georgia.",5,6,7,9,0.484588623,
How many times has Stoudemire been a NBA All-Star?,Stoudemire has been a NBA All-Star 4 times.,9,15,8,15,0.743649483,
For what team did he play college basketball?,"I'm sorry, I cannot answer that question as it requires knowledge of the specific person's basketball history.",8,9,17,23,1.098307133,
In what year did Kanye win the Most Valuable Player Award?,Kanye West won the Most Valuable Player Award in 2008.,11,13,10,15,0.765388012,
What was Gasol's highest total among all centers?,"I'm sorry, I cannot provide an accurate answer as Gasol's highest total among all centers is not known. Can you please provide more context or information?",8,12,26,34,1.555909872,
Who was the head coach of Georgia Tech in 1988?,The head coach of Georgia Tech in 1988 was Bobby Bowden.,10,13,11,15,0.746528625,
What team did the Raptors play against in the 2019 NBA Playoffs?,The Toronto Raptors played against the Milwaukee Bucks in the 2019 NBA Playoffs.,12,17,13,18,0.885313034,
What type of offense did Jerry Buss prefer for the Lakers?,Jerry Buss preferred a fast-paced offense that focused on quick shots and fast-break opportunities. The Lakers were known for their high-octane offense and their ability to score in a hurry.,11,13,30,40,1.834588051,
How many points did Da'Sean Butler have for the Mountaineers?,Da'Sean Butler scored 18 points for the Mountaineers in their 2019 NCAA tournament game against Villanova.,10,15,16,25,1.174968481,
What was his average ERA?,"I'm sorry, I cannot provide an answer without additional context. Who are you referring to?",5,6,15,20,0.965255022,
What was the 2015 L.A. Clippers 8 0 7.1.529.500 1.000 1.6.6.3.4 2.9 2016 Charlotte?,"The 2016 Charlotte Bobcats were a professional basketball team based in Charlotte, North Carolina. They were a member of the Eastern Conference of the National Basketball Association (NBA). The team was founded in 1988 and played its home games at the Charlotte Bobcats Arena. The team was renamed the Charlotte Hornets in 2014.",14,46,53,69,3.094185829,
What team swept the Los Angeles Lakers in 2011?,The San Antonio Spurs swept the Los Angeles Lakers in 2011.,9,12,11,14,0.707726002,
At what intersection was Interstate 271 intersected with Ohio State Route 303?,"I'm sorry, I cannot provide an accurate answer as the intersection of Interstate 271 and Ohio State Route 303 is not a known intersection.",12,16,24,30,1.398914814,
What team does Junior Randall holiday play for?,"I'm sorry, I cannot answer that question as Junior Randall is not a real person and there is no information available on a professional basketball team that he plays for.",8,9,30,34,1.570870638,
When did Darryl Barkley's parents divorce?,"I'm sorry, I cannot provide an accurate answer as I do not have enough information about Darryl Barkley's parents.",6,12,19,28,1.313987017,
How many games did Anthony play for the Pistons in 2014-15?,Anthony played 82 games for the Pistons in 2014-15.,11,17,9,16,0.798793077,
What was Bill Russell's job title?,Bill Russell's job title was head coach of the Boston Celtics.,6,9,11,14,0.70078516,
What was the first winning season for the Portland trailblazers since the 2002-03 season?,The Portland Trail Blazers have not won a winning season since the 2002-03 season.,14,21,14,20,0.975584507,
How many turnovers did Curry commit in the loss to the Golden State Warriors?,Curry committed 5 turnovers in the loss to the Golden State Warriors.,14,15,12,15,0.757151365,
How many Big 12 Conference Conference games does Kansas have?,Kansas has 10 Big 12 Conference Conference games in the 2021-2022 season.,10,12,12,20,0.971406221,
What is the name of the 66 66 35.3?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",9,15,16,21,1.023717165,
Why were spectators in the upper bowl so close to the floor?,The upper bowl of a stadium is typically designed to provide a better view of the game for spectators. The close proximity to the field allows for a more intimate experience and enhances the overall atmosphere of the event.,12,13,39,41,1.876331568,
What was Brandon in 1996-01-22 TCU G/F 24 Brooks?,"I'm sorry, I cannot provide an accurate response as there is no context provided.",9,20,14,18,0.869623899,
Who did McGrady team up with in his first year in Houston?,McGrady teamed up with Yao Ming in his first year in Houston.,12,14,12,16,0.790650845,
What was the original name of the San Diego International Sports Center?,The original name of the San Diego International Sports Center was the San Diego Convention Center.,12,13,16,17,0.833138704,
How many series were the first two rounds of playoffs a best of?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",13,14,17,22,1.05088377,
How many points did Barkley average per game during the regular season?,Barkley averaged 18.7 points per game during the regular season.,12,14,10,16,0.794139624,
"What was the Box score Denver Nuggets 104, Los Angeles Clippers 89?","The Box score Denver Nuggets 104, Los Angeles Clippers 89 was 104-89.",12,17,12,20,0.975065708,
What was the name of the sport that Jereko was best at?,"I'm sorry, I cannot provide an accurate answer as there is no context provided.",12,14,14,18,0.878190279,
What was Brandon Rush's name in 2009?,Brandon Rush's name in 2009 was Brandon Rush.,7,12,8,13,0.668940544,
What institution is the regular season champion of the NCAA Tournament?,The regular season champion of the NCAA Tournament is the team that wins the most games in their conference during the regular season.,11,12,23,24,1.132217407,
What Spurs guard collided with Manu Ginóbili in Game 3?,The Spurs guard collided with Manu Ginóbili in Game 3 of the 2013 NBA Finals.,10,18,15,25,1.2015481,
"How many T-1st NCAA Sweet 16 1995-96 Gary Williams 17-13 8-8 T-4th NCAA 1st Round 1996-97 Gary Williams 21-11 9-7 T-4TH NCAA 2nd Round 1997-98 Gary Williams 20-11 10-6 3rd NCAA Sweet 16. 1998-99 Gary Williams 28-6 13-3 2nd NCAA Sweet 16, 1999-00 Gary Williams 25-10 11-5 2nd collegiate 2nd round",".
Gary Williams is a former basketball coach and current basketball commentator. He is the former head coach of the University of Maryland Terrapins. He has also coached the United States Basketball Association's Charlotte Bobcats.",51,127,35,44,2.019937754,
How many points did the team score in Game 2?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,12,17,22,1.055101633,
How long was Martin's contract?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",5,8,17,22,1.056130409,
How long do you have to stay away from The Cave?,"I'm sorry, I cannot provide an accurate answer as The Cave is a fictional place in the book 'The Alchemist' by Paulo Coelho.",11,12,23,33,1.518867254,
What team did Domantus Saboni play for?,Domantus Saboni played for the San Antonio Spurs.,7,11,8,12,0.619027615,
How many times did Giacoletti lose to UNLV in the first round of the Mountain West Conference Tournament?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data.",18,24,17,23,1.091567755,
When did Murray transfer from La Salle University to his current school?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",12,14,17,22,1.055479765,
When did Darryl dawkins die?,"Darryl Dawkins died on February 4, 2016.",5,10,7,15,0.757361889,
What was the 7th 4 106 Boston Celtics 1971?,"I'm sorry, I cannot provide an accurate response as there is no specific information provided. Can you please provide more context or details?",9,16,23,28,1.311385155,
What percentage of John Starcks Three point Field Goal Percentage did John Starkes have? How many Mike Glenn Offensive Rebounds did Charles Oakley defensive rebound?,John Starcks Three point Field Goal Percentage was 0.0% and Mike Glenn Offensive Rebounds was 0.0%,25,34,16,29,1.356563568,
Where are the Western Illinois Leathernecks Summit?,"The Western Illinois Leathernecks Summit is a college football game played between the Western Illinois Leathernecks and the Eastern Illinois Panthers. The game is usually played in Macomb, Illinois.",7,10,29,37,1.700842619,
How many days before Powell made his Commissioner's Cup debut?,"Powell made his Commissioner's Cup debut on July 13, 2019.",10,13,10,18,0.882260799,
Which country does Mitchell have dual citizenship in?,"I'm sorry, I cannot provide an answer as Mitchell is a fictional character and I do not have access to information about his citizenship.",8,9,24,28,1.307963848,
How many seed are in the second round?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.059756517,
What was the name of the 2012-13 Boston 79 24?,"I'm sorry, I cannot provide an accurate response as there is no context or information provided.",10,17,16,20,0.971891642,
Who was the most Valuable Player in the NBA in 1969-70?,The Most Valuable Player in the NBA in 1969-70 was Jerry West.,11,17,12,18,0.874530315,
"What does the CBA definition of ""international"" exclude?","The CBA definition of ""international"" excludes domestic transactions and transactions between two or more countries that are not part of the same country.",8,13,23,28,1.320383787,
How many minutes did he play off the bench in a 100-92 loss to the Utah Jazz?,"I'm sorry, I cannot provide an accurate answer as there is no context provided.",17,21,14,18,0.873333216,
When did the former members of the Mountain West California State University join the CSU?,The former members of the Mountain West California State University joined the CSU in 1990.,15,17,15,19,0.927915573,
When did the Cleveland Cavaliers trade Bynum to the 76ers?,"The Cleveland Cavaliers traded Andrew Bynum to the Philadelphia 76ers on February 24, 2011.",10,15,14,23,1.095501423,
Who was Eddie Jordan from 2003-2008?,Eddie Jordan was a former Formula One driver who competed in the 2003-2008 seasons. He was known for his aggressive driving style and his tendency to crash into other drivers.,6,12,30,38,1.732347012,
In what year did the conference tournament take place?,"I'm sorry, I cannot answer that question without additional context. Can you please provide more information?",9,10,16,21,0.999071598,
Who was suspended one game without pay in January for shoving a basketball into the face of a Toronto guard?,"I'm sorry, I cannot provide an accurate answer as there is no specific information provided.",20,21,15,19,0.922387362,
Ricky Wilson 1982-1986 1163.4 405?,1986 1163.4 405? 1987 1163.4 405? 1988 1163.4 405? 1989 1163.4 405? 1990 1163.4 405? 1991 1163.4 405? 1992 1163.4 405? 1993 1163.4 405? 1994 1163.4 405? 1995 1163.4 405? 1996 1163.4 405? 1997 1163.4 405? 1998 1163.4 405? 1999 1163.4 405? 2000 1163.4 405? 2001 1163.4 405? 2002 1163.4 405? 2003 1163.4 405? 2004 1163.4 405? 2005 1163.4 405? 2006 1163.4 405? 2007 1163.4 405? 2008 1163.4 405? 2009 1163.4 405? 2010 1163.4 405? 2011 1163.4 405? 2012 1163.4 405? 2013 1163.4 405? 2014 1163.4 405? 2015 1163.4 405? 2016 1163.4 405? 2017 1163.4 405? 2018 1163.4 405? 2019 1163.4 405? 2020 1163.4 405? 2021 1163.4 405? 2022 1163.4 405? 2023 1163.4 405? 2024 1163.4 405? 2025 1163.4 405? 2026 1163.4 405? 2027 1163.4 405? 2028 1163.4 405? 2029 1163.4 405? 2020 1163.4 405?,5,17,135,494,21.59926701,
In what division did they finish in 1950?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,11,17,22,1.057371378,
How many games have the Warriors not lost in a row?,The Warriors have not lost in a row since the 2018-2019 season.,11,12,12,18,0.873052835,
When was Dwight Howard selected by the Orlando Magic?,Dwight Howard was selected by the Orlando Magic in the 2004 NBA Draft.,9,10,13,18,0.890746355,
"Who retired on August 11, 2022?","I'm sorry, I cannot provide an accurate answer as I do not have access to real-time information.",6,11,17,23,1.094733953,
Who qualified as the East's eighth seed in a lockout-shortened season?,The East's eighth seed in a lockout-shortened season was the New York Knicks.,11,18,13,20,0.968635082,
What team would enter the playoffs as the number four seed?,"I'm sorry, I cannot provide an accurate answer as the playoffs are not yet determined.",11,12,15,19,0.920113325,
What is the name of Charles E. Smith Athletic Center?,The name of Charles E. Smith Athletic Center is Charles E. Smith Athletic Center.,10,12,14,17,0.834793568,
What was the name of the Small forward/Shooting guard Junior 1961 - 1962?,The name of the Small forward/Shooting guard Junior 1961 - 1962 is Jerry West.,13,22,14,23,1.105689287,
When was it announced that Varejanos would miss the remainder of the 2013 season due to injury?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time news archives.",17,23,18,24,1.13658905,
How many points did the 2009-2010 season bring to the AP All-State men's team?,"I'm sorry, I cannot provide an accurate answer as the 2009-2010 season is not a valid year for the AP All-State men's team.",14,24,23,36,1.663178205,
What team did the Sacramento Kings trade Shummert to?,The Sacramento Kings traded Shummert to the New York Knicks in 1996.,9,12,12,17,0.83988142,
"What Vanderbilt G/F 26 Nesmith, Aaron 6 ft 5 in (1.96 m)?",Aaron Nesmith is 6 feet 5 inches tall.,12,24,8,12,0.614534378,
How many NBA Western Conference Finals series has Moda Center hosted?,Moda Center has hosted 5 NBA Western Conference Finals series.,11,13,10,13,0.678102732,
Where was the Charlotte Bobcats free agent sign on December 23?,"I'm sorry, I cannot provide an accurate answer as the Charlotte Bobcats were not founded until 1988 and free agent signings did not occur until 1990.",11,14,26,36,1.658642292,
How many points and 1.4 rebounds per game did Zeller average in his freshman year?,Zeller averaged 13.2 points and 5.2 rebounds per game in his freshman year.,15,20,13,21,1.003252029,
Who owns the Portland Trail Blazers NBA franchise?,The Portland Trail Blazers NBA franchise is owned by the Blazers organization.,8,10,12,15,0.764698267,
After what year was the automatic NCAA tournament bid dropped?,The automatic NCAA tournament bid was dropped in 2011.,10,11,9,12,0.611747265,
On what date did Michael and Juanita file for divorce?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,12,17,22,1.044693947,
How many teams play against each other in the first phase?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",11,12,17,22,1.048004389,
Who is Germany's Houston Rockets Brose?,"I'm sorry, I cannot provide an answer to that question as it is not a specific term or individual.",6,10,19,23,1.104432344,
What type of registration goes into effect after the game?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",10,11,17,22,1.062054873,
Who is a Legend?,"A legend is a person or thing that is believed to have a special quality or power. In the world of entertainment, there are many legends that have become household names. Some of the most famous include Elvis Presley, Michael Jackson, and Madonna. These legends have all made significant contributions to the world of entertainment and have left a lasting impact on the industry.",4,5,64,72,3.233417988,
What year did Dick Davis play?,Dick Davis played in the Major Leagues from 1959 to 1970.,6,7,11,17,0.835367918,
Who was the assistant general manager for the Suns in 2018?,"I'm sorry, I do not have that information. Can I assist you with anything else?",11,14,15,20,0.950928688,
What was the team's first regular season title in the MVC and in any conference since 1987?,The team's first regular season title in the MVC and in any conference since 1987 was in 2017.,17,23,18,26,1.229942322,
When did Jeff Bower resign as the Hornets head coach? When did Avery Johnson become the Dallas Mavericks head coaches?,"Jeff Bower resigned as the Hornets head coach on June 30, 2008. Avery Johnson became the Dallas Mavericks head coach on July 1, 2008.",20,25,24,37,1.717681885,
How much did Sterling sue the NBA for?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time news or financial records.",8,9,20,26,1.217340946,
What was Paris named?,"Paris was named after the city of Paris, France.",4,5,9,11,0.568803787,
In what year did the I Liga begin?,The I Liga began in 1990.,8,9,6,9,0.486284256,
What is the 1988 NBA Defensive Player of the Year award?,The 1988 NBA Defensive Player of the Year award was given to Hakeem Olajuwon.,11,15,14,23,1.094479561,
How many Atlanta Hawks were beaten in the Round?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",9,10,20,25,1.195441246,
What was the name of the arena that the Nets moved to in 1981?,The name of the arena that the Nets moved to in 1981 was the New Jersey Arena.,14,17,17,20,0.995045185,
When did the Kings first propose a downtown arena for Sacramento?,The Kings first proposed a downtown arena for Sacramento in 2006.,11,12,11,14,0.706559181,
Who was the American who naturalized in Japan?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,10,17,22,1.05447793,
How many international players did the NBA announce had filed?,"As of 2021, the NBA has announced that 18 international players have filed for the 2021 NBA Draft.",10,11,18,25,1.185076714,
How many points did Howard score in his first game back in Orlando?,"I'm sorry, I cannot provide an accurate answer as Howard did not play in any games during the 2019-2020 NBA season.",13,14,21,30,1.386761427,
Which team won the Western Conference championship in 2007?,The Denver Nuggets won the Western Conference championship in 2007.,9,12,10,14,0.704158545,
What was so important to the Garden that the Rangers were forced to play in the 1928 Stanley Cup Finals?,"The Garden was important to the Rangers because it was the home of the New York Rangers and the venue for their playoff games. The Rangers were the first team to win the Stanley Cup in 1924, and they were determined to win it again in 1928.",20,23,47,54,2.471452236,
Where did the Buckeyes defeat California to win the 1960 NBA title?,The Buckeyes defeated the Los Angeles Lakers to win the 1960 NBA title.,12,17,13,18,0.884268284,
What year did the team move to the new arena?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,11,17,22,1.061172962,
What sport will Dew Action Sports return to Portland for a third year?,"Dew Action Sports returns to Portland for a third year in 2019. The event will take place on July 27th and 28th at the Portland Expo Center. The event will feature skateboarding, BMX, and other action sports.",13,14,37,51,2.32388711,
Who advised Stevenson not to go straight to the court?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,11,17,22,1.078079462,
What university was Francis Xavier in 1969?,"I'm sorry, I cannot provide an accurate answer as I do not have access to historical records.",7,10,17,21,1.001967669,
Who is the head coach of the Minnesota Lynx of the WNBA?,The head coach of the Minnesota Lynx of the WNBA is Cheryl Reeve.,12,15,13,17,0.828968048,
In what year did he lead his team to the British Columbia?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",12,13,17,22,1.038226604,
In what year was he the MVP of EuroBasket?,"I'm sorry, I cannot answer that question as it requires knowledge of the specific year in question.",9,12,17,21,1.013551235,
What legend portrayed Julius Erving?,"There are many legends that portray Julius Erving, but one of the most popular ones is that he was a 'god of basketball' and that he was able to make the basketball dribble on its own.",5,7,36,43,1.985458136,
"How many affiliate Ontario Clippers Championships NBA 0 Conference 0 Division 2 (2013, 2014)?","The Toronto Raptors have won the most NBA championships in Ontario, with 4 championships.",14,24,14,18,0.882898808,
What year did Brown v. Wade take place?,Brown v. Wade took place in 1973.,8,10,7,11,0.580979347,
What is Booker's weight?,"I'm sorry, I cannot provide an answer as I do not have access to personal information about individuals.",4,7,18,22,1.064173222,
What was UA in shambles at that point?,UA was in shambles at that point. The company was struggling to keep up with the demands of the market and was facing financial difficulties.,8,10,25,28,1.307838202,
What was the name of the 11th season of the NBA?,The name of the 11th season of the NBA is 2010-11.,11,14,11,18,0.871771336,
Where was the first conference held?,"The first conference was held in Vienna, Austria in 1876.",6,7,10,14,0.696946859,
What year did Barry set a record for the most points scored by a Rocket?,"Barry set a record for the most points scored by a Rocket in a single game in 1985, when he scored 61 points.",15,16,23,28,1.300628424,
Where was Popoviche born?,"I'm sorry, I cannot provide an accurate answer as Popoviche is a fictional character in the movie 'The Man with the Iron Heart'.",4,7,23,31,1.448112249,
When was the 1967 NBA All-Star Game?,"The 1967 NBA All-Star Game was held on February 18, 1967.",7,12,11,20,0.980003119,
Who ranked Griffin sixth and seventh according to Scout.com?,"I'm sorry, I cannot provide an accurate response as I am an AI language model and do not have access to real-time data.",9,12,23,29,1.362849712,
Who was a successful coach at Utah?,"There have been many successful coaches at Utah over the years, including Jerry Sloan, Rick Majerus, and Larry Krystkowiak.",7,8,19,28,1.322579861,
How many minutes did Nesterovi play per game in the Slovenian domestic league?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",13,17,17,22,1.077248573,
What is the name of the 1994 New York Knicks Eastern Conference Champions Pennant?,The name of the 1994 New York Knicks Eastern Conference Champions Pennant is 'NBA Champions 1994'.,14,18,16,24,1.146276951,
"In minutes played and in the new blocked shots category, Jabbar was a peerless presence all season long.","The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4, 240-pounder was a force in the paint, averaging 18.7 points per game.
The 6-foot-4,",18,22,226,488,21.35830331,
How many teams from the ACC will not play each challenge?,"I'm sorry, I cannot provide an accurate answer as the number of teams in the ACC may vary from year to year.",11,12,22,26,1.218611002,
What is the name of the MPG FG% 3P% FT% RPG APG SPG BPG PPG 2008-09?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",16,31,16,21,1.004231691,
How many rebounds did he grab in Game 7?,"I'm sorry, I cannot answer that question as it is not specific enough. Can you please provide more context or information?",9,11,21,26,1.221391201,
Who won the NBA Most Improved Player Award?,"The NBA Most Improved Player Award has been awarded to several players over the years. Some of the most notable winners include LeBron James, Anthony Davis, and Giannis Antetokounmpo.",8,9,29,39,1.792948484,
How many Dukes won it?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",5,7,17,22,1.046613216,
How many times do the Kentucky Colonels win a series?,"The Kentucky Colonels won the 1978 NBA Finals, which was their only championship in franchise history.",10,12,16,21,1.013932467,
When was the Fiesta Conf. LA Tenorio held?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,11,17,22,1.060018539,
Which team did they advance to the championship game of the 2010 Big East Men's Basketball Tournament before losing to West Virginia?,The team that advanced to the championship game of the 2010 Big East Men's Basketball Tournament before losing to West Virginia was the #1 seed Syracuse Orange.,22,27,27,34,1.582278013,
What award did Morris win in 2013-14?,"I'm sorry, I cannot provide an accurate answer as Morris did not win any awards in 2013-14.",7,12,17,25,1.197925329,
On what date did Harris sign a deal with the Philadelphia 76ers for a 5-year 180-day deal?,"Harris signed a 5-year 180-day deal with the Philadelphia 76ers on July 1, 2019.",17,26,14,27,1.283090115,
What year did the Iona Men's Basketball team make it to the NCAA Tournament?,The Iona Men's Basketball team made it to the NCAA Tournament in 2019.,14,18,13,19,0.921871901,
How many Championships logos were created between 1946 and 1964?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,15,17,22,1.051969528,
What was the name of the Razorbacks player?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",8,10,16,21,1.005498409,
"Who holds the NBA record for the most seasons, games, and consecutive games played with one team?","The NBA record for the most seasons, games, and consecutive games played with one team is held by Kobe Bryant, who played for the Los Angeles Lakers for 20 seasons.",17,20,30,35,1.629266739,
What team won the Shooting Stars competition?,"I'm sorry, I cannot provide an accurate answer as the Shooting Stars competition is not a well-known event. Can you please provide more context or information about the event?",7,8,29,36,1.650529623,
Who won his first Coach of the Month award?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data.",9,10,17,23,1.103259563,
What had HIV been associated with?,"HIV has been associated with AIDS, which is a chronic and potentially life-threatening condition caused by the human immunodeficiency virus.",6,7,20,28,1.304131031,
How did Chandler compare to DeMar DeRozan?,"Chandler Parsons and DeMar DeRozan are both talented NBA players, but they have different strengths and weaknesses. Parsons is a versatile 3-point shooter and a solid defender, while DeRozan is a more consistent scorer and a better playmaker. Overall, they are both valuable players in their own ways.",7,11,48,65,2.908557892,
Who was the oldest Hawks player in the league?,The oldest Hawks player in the league is currently 37-year-old veteran Vince Carter.,9,10,13,19,0.926048517,
What was Mike Dement's position at SMU?,Mike Dement was a former SMU football player who played for the Dallas Cowboys in the NFL. He was a wide receiver and played for the Cowboys from 1970 to 1974.,7,11,31,38,1.746775627,
Who did not play Future dates 2010: ACC-Big Ten Challenge?,"I'm sorry, I cannot provide an accurate answer as the ACC-Big Ten Challenge is a college basketball event that is not related to the Future dates. Can you please provide more context or information?",10,16,34,41,1.903318405,
What is LaBradford Smith's position?,LaBradford Smith is a former American football player who played as a wide receiver. He played for the New York Jets and the New York Giants during his career.,5,10,29,33,1.529900551,
What year was Jerel McNeal the 2006-07 Big East Defensive Player of the year?,Jerel McNeal was the 2006-07 Big East Defensive Player of the year.,14,22,12,20,0.963111162,
What was the name of the university that was a football only member from 2014 to 2017?,The name of the university that was a football only member from 2014 to 2017 was the University of Texas at San Antonio.,17,22,23,28,1.306223869,
